time	force
8.106688367592223e-01	3.891048622994953e+01
8.204698998930744e-01	3.890939722293466e+01
8.260705073981327e-01	3.890877493321187e+01
8.316711149031910e-01	3.890815264348909e+01
8.372717224082491e-01	3.890753035376630e+01
8.568831830217949e-01	3.877311577364490e+01
8.624837905268532e-01	3.877249348392212e+01
8.722848536607053e-01	3.877140447690725e+01
8.820905839674780e-01	3.870419718684655e+01
8.862957067691926e-01	3.863761218650863e+01
9.044976811606320e-01	3.863558974490958e+01
9.100982886656903e-01	3.863496745518680e+01
9.198993517995422e-01	3.863387844817193e+01
9.297004149333943e-01	3.863278944115706e+01
9.353010224384524e-01	3.863216715143427e+01
9.451020855723045e-01	3.863107814441940e+01
9.549031487061566e-01	3.862998913740453e+01
9.605037562112146e-01	3.862936684768174e+01
9.773149130722314e-01	3.849526341242174e+01
9.829155205772897e-01	3.849464112269895e+01
9.871159762060833e-01	3.849417440540687e+01
1.002517646844994e+00	3.849246310866921e+01
1.008120587936512e+00	3.845878167742351e+01
1.027729714963598e+00	3.835742623882503e+01
1.033330322468656e+00	3.835680394910224e+01
1.038930929973714e+00	3.835618165937946e+01
1.044531537478772e+00	3.835555936965667e+01
1.066943301844848e+00	3.822083364467388e+01
1.071143757473641e+00	3.822036692738179e+01
1.079544668731229e+00	3.821943349279762e+01
1.086545428112552e+00	3.821865563064414e+01
1.092146035617610e+00	3.821803334092135e+01
1.096346491246403e+00	3.821756662362927e+01
1.114560133570145e+00	3.805024847441565e+01
1.118767589958320e+00	3.795060433255482e+01
1.127219840118037e+00	3.722236978446655e+01
1.130038812562250e+00	3.695758550742185e+01
1.135695426142359e+00	3.616354382114914e+01
1.135714094834042e+00	3.589907068896584e+01
1.138547068797018e+00	3.543593156278365e+01
1.141380042759993e+00	3.497279243660147e+01
1.141398711451676e+00	3.470831930441817e+01
1.144231685414652e+00	3.424518017823598e+01
1.147064659377627e+00	3.378204105205381e+01
1.147078660896390e+00	3.358368620291633e+01
1.149906967686444e+00	3.318666535977997e+01
1.152739941649419e+00	3.272352623359779e+01
1.152758610341103e+00	3.245905310141448e+01
1.155591584304078e+00	3.199591397523231e+01
1.158424558267054e+00	3.153277484905012e+01
1.159843378835002e+00	3.126814614443612e+01
1.164095173365925e+00	3.054037831363994e+01
1.166909478637217e+00	3.034171231964106e+01
1.169723783908509e+00	3.014304632564219e+01
1.176775882191961e+00	2.941496734998461e+01
1.180990339339517e+00	2.921614578355505e+01
1.193633710782186e+00	2.861968108426634e+01
1.199245986219547e+00	2.845376308692899e+01
1.206258413533172e+00	2.828768951716094e+01
1.214668659136601e+00	2.815451951648511e+01
