time	vel
4.481023722841924e-02	1.453956199527820e-02
4.555042806179359e-02	1.492949343399114e-02
4.629072003485959e-02	1.530402635464966e-02
4.703126485715474e-02	1.564006298017213e-02
4.777160740006657e-02	1.600689664180345e-02
4.851205108267007e-02	1.635833178538035e-02
4.925264647481103e-02	1.668666915187561e-02
4.999344414633532e-02	1.698420948226205e-02
5.073419124801377e-02	1.728944907167572e-02
5.147524176876719e-02	1.754849310692611e-02
5.221619114982895e-02	1.782293566023092e-02
5.295734281027402e-02	1.806658117742692e-02
5.369859561041075e-02	1.829482817656850e-02
5.444005068993078e-02	1.849227813960121e-02
5.518160690914248e-02	1.867432958457953e-02
5.592331483789165e-02	1.883328325247623e-02
5.666502276664082e-02	1.899223692037293e-02
5.740703411446495e-02	1.910499503410637e-02
5.814904546228908e-02	1.921775314783981e-02
5.889120851965070e-02	1.930741348449164e-02
5.963367499608728e-02	1.935087826698020e-02
6.037609090267804e-02	1.940204230849600e-02
6.111881022834374e-02	1.940701079584853e-02
6.186158012385529e-02	1.940428002417385e-02
6.260465343844181e-02	1.935535369833594e-02
6.334777732287414e-02	1.929872811347080e-02
6.409100234699813e-02	1.922670401055127e-02
6.483432851081379e-02	1.913928138957730e-02
6.557775581432108e-02	1.903646025054892e-02
6.632143596705752e-02	1.889514281638449e-02
6.706516668963979e-02	1.874612612319285e-02
6.780894798206788e-02	1.858941017097403e-02
6.855288098403345e-02	1.840959644167356e-02
6.929691512569067e-02	1.821438419431869e-02
7.004105040703955e-02	1.800377342890939e-02
7.078513511854261e-02	1.780086192252731e-02
7.152952324912062e-02	1.755175486198196e-02
7.227386080985282e-02	1.731034706046385e-02
7.301819837058501e-02	1.706893925894572e-02
7.376273821070051e-02	1.679673442131875e-02
7.450712634127853e-02	1.654762736077342e-02
7.525166618139402e-02	1.627542252314647e-02
7.599635773104702e-02	1.598011990843788e-02
7.674094814100833e-02	1.570021581178371e-02
7.748538684143218e-02	1.544340949221117e-02
7.823002782123933e-02	1.515580613652981e-02
7.897471937089232e-02	1.486050352182121e-02
7.971930978085366e-02	1.458059942516704e-02
8.046379905112333e-02	1.431609384656730e-02
8.120833889123884e-02	1.404388900894034e-02
8.195292930120016e-02	1.376398491228617e-02
8.269736800162400e-02	1.350717859271362e-02
8.344175613220202e-02	1.325807153216829e-02
8.418614426278004e-02	1.300896447162296e-02
8.493058296320388e-02	1.275215815205043e-02
8.567486995409025e-02	1.251844960955950e-02
8.641910637513078e-02	1.229244032609579e-02
8.716329222632549e-02	1.207413030165931e-02
8.790752864736603e-02	1.184812101819559e-02
8.865156278902325e-02	1.165290877084071e-02
8.939539465129717e-02	1.148849355959468e-02
9.013932765326274e-02	1.130867983029421e-02
9.088315951553666e-02	1.114426461904816e-02
9.162689023811893e-02	1.099524792585654e-02
9.237051982100954e-02	1.086162975071932e-02
9.311409883405432e-02	1.073571083460932e-02
9.385772841694492e-02	1.060209265947210e-02
9.460120629029807e-02	1.049157226141650e-02
9.534458302395954e-02	1.039645038141533e-02
9.608780804808353e-02	1.032442627849578e-02
9.683108364205334e-02	1.024470291654904e-02
9.757405581694820e-02	1.021117510876554e-02
9.831712913153470e-02	1.016224878292761e-02
9.906015187627538e-02	1.012102171611690e-02
9.980302291147859e-02	1.010289242638779e-02
1.005459950863734e-01	1.006936461860429e-02
1.012887649818850e-01	1.006663384692962e-02
1.020313325980132e-01	1.009470011136376e-02
1.027740013538331e-01	1.010736785774352e-02
1.035166701096530e-01	1.012003560412326e-02
1.042591871559354e-01	1.015580112758462e-02
1.050017042022178e-01	1.019156665104599e-02
1.057442212485002e-01	1.022733217450736e-02
1.064865865852452e-01	1.028619547505033e-02
1.072289519219901e-01	1.034505877559333e-02
1.079713172587350e-01	1.040392207613633e-02
1.087136825954799e-01	1.046278537667930e-02
1.094559467925332e-01	1.053704719527672e-02
1.101981604197406e-01	1.061900827290133e-02
1.109403740469481e-01	1.070096935052595e-02
1.116825876741555e-01	1.078293042815057e-02
1.124248518712088e-01	1.085719224674797e-02
1.131670654984162e-01	1.093915332437259e-02
1.139092791256237e-01	1.102111440199718e-02
1.146515433226770e-01	1.109537622059462e-02
1.153937063800386e-01	1.118503655724644e-02
1.161359705770919e-01	1.125929837584383e-02
1.168781842042993e-01	1.134125945346845e-02
1.176203978315068e-01	1.142322053109306e-02
1.183626620285600e-01	1.149748234969047e-02
1.191050779351508e-01	1.154864639120624e-02
1.198473421322040e-01	1.162290820980365e-02
1.205896568991031e-01	1.168947076937385e-02
1.213320222358481e-01	1.174833406991684e-02
1.220744887122847e-01	1.179179885240542e-02
1.228168034791838e-01	1.185836141197562e-02
1.235593710953120e-01	1.188642767640977e-02
1.243018375717486e-01	1.192989245889833e-02
1.250443546180310e-01	1.196565798235971e-02
1.257869728040050e-01	1.198602498776666e-02
1.265294898502874e-01	1.202179051122804e-02
1.272720574664157e-01	1.204985677566218e-02
1.280148273619272e-01	1.204712600398751e-02
1.287575972574388e-01	1.204439523231284e-02
1.295003671529503e-01	1.204166446063816e-02
1.302431370484619e-01	1.203893368896349e-02
1.309859069439734e-01	1.203620291728881e-02
1.317286768394850e-01	1.203347214561414e-02
1.324715984445340e-01	1.200764359685784e-02
1.332145706194288e-01	1.197411578907433e-02
1.339575933641695e-01	1.193288872226361e-02
1.347006666787560e-01	1.188396239642568e-02
1.354437399933425e-01	1.183503607058776e-02
1.361867121682374e-01	1.180150826280427e-02
1.369298360526697e-01	1.174488267793912e-02
1.376729599371021e-01	1.168825709307399e-02
1.384161343913802e-01	1.162393224918165e-02
1.391593088456584e-01	1.155960740528932e-02
1.399024832999365e-01	1.149528256139698e-02
1.406456577542147e-01	1.143095771750463e-02
1.413888827783387e-01	1.135893361458508e-02
1.421321078024627e-01	1.128690951166553e-02
1.428753833964325e-01	1.120718614971879e-02
1.436187095602482e-01	1.111976352874482e-02
1.443620357240638e-01	1.103234090777086e-02
1.451053113180336e-01	1.095261754582409e-02
1.458486880516951e-01	1.085749566582292e-02
1.465919636456649e-01	1.077777230387617e-02
1.473352898094806e-01	1.069034968290219e-02
1.480786159732962e-01	1.060292706192827e-02
1.488219421371119e-01	1.051550444095430e-02
1.495652683009275e-01	1.042808181998033e-02
1.503085438948973e-01	1.034835845803357e-02
1.510518700587130e-01	1.026093583705960e-02
1.517951962225286e-01	1.017351321608564e-02
1.525384718164984e-01	1.009378985413888e-02
1.532817979803141e-01	1.000636723316493e-02
1.540249724345922e-01	9.942042389272585e-03
1.547682985984079e-01	9.854619768298614e-03
1.555115741923777e-01	9.774896406351860e-03
1.562547992165017e-01	9.702872303432308e-03
1.569980242406256e-01	9.630848200512770e-03
1.577412492647497e-01	9.558824097593219e-03
1.584843225793361e-01	9.509897771755288e-03
1.592275981733060e-01	9.430174409808548e-03
1.597849284441688e-01	9.389630035916488e-03
